workload,layer_idx,n_banks,bank_conflicts,cycles_lost,conflict_pct
MobileNetV2,1,2,1967.0,3934.0,25.0
MobileNetV2,1,4,983.0,1966.0,22.65625
MobileNetV2,1,8,491.0,982.0,14.74609375
MobileNetV2,1,16,245.0,490.0,8.33740234375
MobileNetV2,2,2,5631.0,11262.0,25.0
MobileNetV2,2,4,2815.0,5630.0,22.65625
MobileNetV2,2,8,1407.0,2814.0,14.74609375
MobileNetV2,2,16,703.0,1406.0,8.33740234375
MobileNetV2,3,2,53759.0,107518.0,25.0
MobileNetV2,3,4,26879.0,53758.0,22.65625
MobileNetV2,3,8,13439.0,26878.0,14.74609375
MobileNetV2,3,16,6719.0,13438.0,8.33740234375
MobileNetV2,4,2,15359.0,30718.0,25.0
MobileNetV2,4,4,7679.0,15358.0,22.65625
MobileNetV2,4,8,3839.0,7678.0,14.74609375
MobileNetV2,4,16,1919.0,3838.0,8.33740234375
EfficientDet-Lite0,1,2,31359.0,62718.0,30.0
EfficientDet-Lite0,1,4,15679.0,31358.0,27.187499999999996
EfficientDet-Lite0,1,8,7839.0,15678.0,17.6953125
EfficientDet-Lite0,1,16,3919.0,7838.0,10.0048828125
EfficientDet-Lite0,2,2,19519.0,39038.0,30.0
EfficientDet-Lite0,2,4,9759.0,19518.0,27.187499999999996
EfficientDet-Lite0,2,8,4879.0,9758.0,17.6953125
EfficientDet-Lite0,2,16,2439.0,4878.0,10.0048828125
EfficientDet-Lite0,3,2,14847.0,29694.0,30.0
EfficientDet-Lite0,3,4,7423.0,14846.0,27.187499999999996
EfficientDet-Lite0,3,8,3711.0,7422.0,17.6953125
EfficientDet-Lite0,3,16,1855.0,3710.0,10.0048828125
EfficientDet-Lite0,4,2,40063.0,80126.0,30.0
EfficientDet-Lite0,4,4,20031.0,40062.0,27.187499999999996
EfficientDet-Lite0,4,8,10015.0,20030.0,17.6953125
EfficientDet-Lite0,4,16,5007.0,10014.0,10.0048828125
DS-CNN-KWS,1,2,679.0,1358.0,35.0
DS-CNN-KWS,1,4,339.0,678.0,31.718749999999996
DS-CNN-KWS,1,8,169.0,338.0,20.644531249999996
DS-CNN-KWS,1,16,84.0,168.0,11.67236328125
DS-CNN-KWS,2,2,43519.0,87038.0,35.0
DS-CNN-KWS,2,4,21759.0,43518.0,31.718749999999996
DS-CNN-KWS,2,8,10879.0,21758.0,20.644531249999996
DS-CNN-KWS,2,16,5439.0,10878.0,11.67236328125
DS-CNN-KWS,3,2,43007.0,86014.0,35.0
DS-CNN-KWS,3,4,21503.0,43006.0,31.718749999999996
DS-CNN-KWS,3,8,10751.0,21502.0,20.644531249999996
DS-CNN-KWS,3,16,5375.0,10750.0,11.67236328125
DS-CNN-KWS,4,2,76799.0,153598.0,35.0
DS-CNN-KWS,4,4,38399.0,76798.0,31.718749999999996
DS-CNN-KWS,4,8,19199.0,38398.0,20.644531249999996
DS-CNN-KWS,4,16,9599.0,19198.0,11.67236328125
ResNet-18,1,2,118783.0,237566.0,28.000000000000004
ResNet-18,1,4,59391.0,118782.0,25.375000000000004
ResNet-18,1,8,29695.0,59390.0,16.515625
ResNet-18,1,16,14847.0,29694.0,9.337890625
ResNet-18,2,2,61951.0,123902.0,28.000000000000004
ResNet-18,2,4,30975.0,61950.0,25.375000000000004
ResNet-18,2,8,15487.0,30974.0,16.515625
ResNet-18,2,16,7743.0,15486.0,9.337890625
ResNet-18,3,2,159999.0,319998.0,28.000000000000004
ResNet-18,3,4,79999.0,159998.0,25.375000000000004
ResNet-18,3,8,39999.0,79998.0,16.515625
ResNet-18,3,16,19999.0,39998.0,9.337890625
ResNet-18,4,2,596095.0,1192190.0,28.000000000000004
ResNet-18,4,4,298047.0,596094.0,25.375000000000004
ResNet-18,4,8,149023.0,298046.0,16.515625
ResNet-18,4,16,74511.0,149022.0,9.337890625
TinyBERT,1,2,40959.0,81918.0,55.00000000000001
TinyBERT,1,4,20479.0,40958.0,49.84375
TinyBERT,1,8,10239.0,20478.0,32.44140625000001
TinyBERT,1,16,5119.0,10238.0,18.34228515625
TinyBERT,2,2,65535.0,131070.0,55.00000000000001
TinyBERT,2,4,32767.0,65534.0,49.84375
TinyBERT,2,8,16383.0,32766.0,32.44140625000001
TinyBERT,2,16,8191.0,16382.0,18.34228515625
TinyBERT,3,2,16383.0,32766.0,55.00000000000001
TinyBERT,3,4,8191.0,16382.0,49.84375
TinyBERT,3,8,4095.0,8190.0,32.44140625000001
TinyBERT,3,16,2047.0,4094.0,18.34228515625
TinyBERT,4,2,40959.0,81918.0,55.00000000000001
TinyBERT,4,4,20479.0,40958.0,49.84375
TinyBERT,4,8,10239.0,20478.0,32.44140625000001
TinyBERT,4,16,5119.0,10238.0,18.34228515625
U-Net,1,2,2335.0,4670.0,65.0
U-Net,1,4,1167.0,2334.0,58.90625000000001
U-Net,1,8,583.0,1166.0,38.33984375
U-Net,1,16,291.0,582.0,21.67724609375
U-Net,2,2,69631.0,139262.0,65.0
U-Net,2,4,34815.0,69630.0,58.90625000000001
U-Net,2,8,17407.0,34814.0,38.33984375
U-Net,2,16,8703.0,17406.0,21.67724609375
U-Net,3,2,102399.0,204798.0,65.0
U-Net,3,4,51199.0,102398.0,58.90625000000001
U-Net,3,8,25599.0,51198.0,38.33984375
U-Net,3,16,12799.0,25598.0,21.67724609375
U-Net,4,2,140287.0,280574.0,65.0
U-Net,4,4,70143.0,140286.0,58.90625000000001
U-Net,4,8,35071.0,70142.0,38.33984375
U-Net,4,16,17535.0,35070.0,21.67724609375
SSD-MobileNet,1,2,14991.0,29982.0,32.0
SSD-MobileNet,1,4,7495.0,14990.0,28.999999999999996
SSD-MobileNet,1,8,3747.0,7494.0,18.875
SSD-MobileNet,1,16,1873.0,3746.0,10.671875
SSD-MobileNet,2,2,40063.0,80126.0,32.0
SSD-MobileNet,2,4,20031.0,40062.0,28.999999999999996
SSD-MobileNet,2,8,10015.0,20030.0,18.875
SSD-MobileNet,2,16,5007.0,10014.0,10.671875
SSD-MobileNet,3,2,149055.0,298110.0,32.0
SSD-MobileNet,3,4,74527.0,149054.0,28.999999999999996
SSD-MobileNet,3,8,37263.0,74526.0,18.875
SSD-MobileNet,3,16,18631.0,37262.0,10.671875
SSD-MobileNet,4,2,296063.0,592126.0,32.0
SSD-MobileNet,4,4,148031.0,296062.0,28.999999999999996
SSD-MobileNet,4,8,74015.0,148030.0,18.875
SSD-MobileNet,4,16,37007.0,74014.0,10.671875
